Male profession,M-Proj g_diff,M-Proj g_pca_0,M-Proj g_pca_01,M-Prog g_e,Female profession,F-Proj g_diff,F-Proj g_pca_0,F-Proj g_pca_01,F-Prog g_e,% female
calzolaio,0.07927125692367554,0.08150456845760345,0.10563987493515015,-0.04991217702627182,calzolaia,-0.014803512021899223,-0.044504038989543915,-0.012927496805787086,-0.04066934436559677,8.0
biologo,0.01578785851597786,0.10302853584289551,0.11914380639791489,0.07335633039474487,biologa,-0.22344189882278442,-0.21506045758724213,-0.1411605328321457,-0.04596996307373047,76.0
avvocato,-0.08620567619800568,0.030805334448814392,0.10146689414978027,0.09619196504354477,avvocatessa,-0.24424031376838684,-0.20694145560264587,-0.10398967564105988,0.016933254897594452,47.2
psicologo,0.02558121085166931,0.04197177290916443,0.06697043776512146,0.05608291178941727,psicologa,-0.19289591908454895,-0.24964819848537445,-0.16317468881607056,0.03471670299768448,82.9
maestro,0.1592184156179428,0.23557868599891663,0.2390144318342209,0.04072120040655136,maestra,-0.18982729315757751,-0.20199577510356903,-0.11436551064252853,0.040153034031391144,96.4
professore,-0.08433026820421219,0.07897679507732391,0.1599869430065155,0.081700399518013,professoressa,-0.284365177154541,-0.2497817873954773,-0.13754023611545563,0.030729860067367554,71.9
cameriere,0.007339581847190857,-0.03492991253733635,-0.014164526015520096,-0.006507962942123413,cameriera,-0.14317120611667633,-0.19296208024024963,-0.1106925904750824,-0.009994683787226677,51.4
albergatore,0.05731780081987381,0.080634206533432,0.04493585601449013,0.017233243212103844,albergatrice,-0.14435596764087677,-0.1517176628112793,-0.12266814708709717,0.03356190770864487,50.6
infermiere,-0.07226475328207016,-0.10909838229417801,-0.09702842682600021,-0.033959317952394485,infermiera,-0.21458765864372253,-0.219004824757576,-0.1199561357498169,-0.012385114096105099,77.0
geologo,-0.00025435909628868103,0.09766188263893127,0.14868995547294617,0.026921402662992477,geologa,-0.23319755494594574,-0.20170170068740845,-0.12166981399059296,-0.004920625127851963,39.8
zoologo,0.006750062108039856,0.08889631181955338,0.0977097898721695,-0.05632777884602547,zoologa,-0.19422772526741028,-0.17943570017814636,-0.13329294323921204,-0.03839116543531418,70.5
filosofo,0.1097896620631218,0.16874632239341736,0.13220298290252686,0.041802067309617996,filosofa,-0.16370898485183716,-0.17290550470352173,-0.12207125127315521,0.006861021742224693,51.9
ostetrico,-0.11629118770360947,-0.1846579760313034,-0.15860119462013245,-0.04589059203863144,ostetrica,-0.1886180341243744,-0.24236394464969635,-0.15507516264915466,-0.007404766045510769,98.3
agrotecnico,-0.015271123498678207,0.0681416392326355,0.09016718715429306,-0.02201221138238907,agrotecnica,-0.021716561168432236,0.019838504493236542,0.025149770081043243,-0.02880745567381382,14.5
veterinario,-0.02277032658457756,0.0013874247670173645,0.04606661945581436,-0.08961736410856247,veterinaria,-0.06850944459438324,-0.03952519968152046,0.02102206088602543,-0.08535610884428024,59.2
