Profession,Proj g_diff,Proj g_pca_0,Proj g_pca_01,Prog g_e,% male,% female
camionista,0.0009575672447681427,0.010437482967972755,0.05752255767583847,-0.028761520981788635,96.9,3.1
elettricista,0.05116450786590576,0.07522859424352646,0.06088849902153015,0.0061385855078697205,96.8,3.2
ingegnere,0.0060148462653160095,0.13271519541740417,0.15975387394428253,0.0033537980634719133,83.6,16.4
architetto,0.048270754516124725,0.12884126603603363,0.118353933095932,0.017532693222165108,64.7,35.3
notaio,0.047991130501031876,0.07473180443048477,0.122837595641613,0.14006631076335907,66.4,33.6
commercialista,-0.001896977424621582,0.03157040476799011,0.07839200645685196,0.07872872054576874,68.2,31.8
giornalista,-0.06679848581552505,-0.02074808068573475,0.039421528577804565,0.051914215087890625,54.7,45.3
insegnante,-0.09975773096084595,-0.07072918117046356,-0.047351982444524765,0.04890421777963638,17.299999999999997,82.7
barista,0.017341483384370804,0.004998733289539814,0.04002947732806206,-0.04671161249279976,38.9,61.1
medico,-0.05331985652446747,-0.038994014263153076,0.04372064769268036,-0.014985228888690472,56.3,43.7
dentista,-0.025305621325969696,-0.014620669186115265,0.04786922410130501,-0.02901514619588852,64.8,35.2
badante,-0.09120151400566101,-0.1752018928527832,-0.13545778393745422,0.03373921290040016,12.200000000000003,87.8
farmacista,-0.07673068344593048,-0.04591317102313042,0.03630542382597923,-0.01992587186396122,30.799999999999997,69.2
dietista,-0.16046974062919617,-0.17380067706108093,-0.05591592937707901,0.06211387366056442,23.700000000000003,76.3
igienista,-0.026632312685251236,0.01389147900044918,0.01645311899483204,-0.04659535363316536,26.299999999999997,73.7
preside,-0.09391967952251434,-0.04104281961917877,0.03719412535429001,0.061447225511074066,33.8,66.2
