Professione,% donne,Fonte
camionista,3.1,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
elettricista,3.2,http://www.milanotoday.it/economia/donne-fanno-mesteri-da-uomini-lombardia.html
ingegnere,16.4,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
architetto,35.3,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
notaio,33.6,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
commercialista,31.8,http://www.cuprofessioni.it/2%C2%B0_Rapporto_Professioni_2018.pdf
giornalista,45.3,http://www.confprofessioni.eu/sites/default/files/rapporto_2017_libere_professioni.pdf
insegnante,82.7,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
barista,61.1,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&ved=2ahUKEwjSuMKagdvoAhWTO8AKHZA1DsUQFjABegQIChAD&url=https%3A%2F%2Fwww.fipe.it%2Fcentro-studi%2Fcentro-studi-2011.html%3Fdownload%3D196%3Anota-informativa-il-lavoro-delle-donne-focus-sulla-ristorazione&usg=AOvVaw3lWBsvu3ZyMhaFPe_QD1SH
medico,43.7,https://www.lastampa.it/salute/2019/03/08/news/giovani-medici-le-donne-sono-il-doppio-degli-uomini-specie-fra-chirurghi-e-dentisti-1.33686314?refresh_ce
dentista,35.2,https://www.lastampa.it/salute/2019/03/08/news/giovani-medici-le-donne-sono-il-doppio-degli-uomini-specie-fra-chirurghi-e-dentisti-1.33686314?refresh_ce
badante,87.8,https://www.repubblica.it/economia/miojob/lavoro/2016/08/16/news/professione_badante_in_crescita_la_quota_di_uomini-146076012/
farmacista,69.2,https://www.quotidianosanita.it/lavoro-e-professioni/articolo.php?articolo_id=48515
dietista,76.3,almalaurea
igienista,73.7,almalaurea
preside,66.2,https://www.tuttoscuola.com/la-mappa-del-rapporto-genere-cattedra/
